,Магазин,Координаты и время,Категория,Бренд,Номер карты,Количество товаров,Цена
965,Спортмастер,"('59.9128513,30.446262', '20:56')",Плавки,Peter Pilotto,5106702055747839,89,1300
966,Citilink,"('59.9992825,30.3597408', '19:16')",Гарнитура,Kenwood,5106598573092047,13,201
967,Gate31,"('59.9307242,30.345161', '18:45')",Свитер,John Lewis & Partners,5106468540670106,6,2905
968,DNS,"('59.8835274,30.370143', '10:22')",Монитор,Corsair,5106853017554449,86,26501
969,Гум,"('59.9937587,30.1931236', '19:11')",Шарф,Max Mara,4272133567427416,27,405
970,Gate31,"('59.9307242,30.345161', '18:45')",Блузка,Jack Wills,5469495428360835,100,3100
971,Familia,"('59.92634555,30.32030116', '11:53')",Свитер,Barbour,5106698081340725,82,4400
972,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Пудра,Lorac,4279134185127693,98,805
973,Отдел,"('60.04797585,30.26449915', '13:07')",Юбка,Fat Face,4274857269738992,97,401
974,Citilink,"('59.9992825,30.3597408', '19:16')",Гарнитура,ASRock,5469355321491214,36,2805
975,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Линер,Josie Maran,4272278253872537,97,100
976,Технопарк,"('59.90775075,30.32520831', '21:03')",Смартфон,Artec,4274733627419303,68,31400
977,Citilink mini,"('60.0474289,30.3748429', '10:37')",Фотокамера,Fuzion,5469320882005243,22,2601
978,Гум,"('59.9937587,30.1931236', '19:11')",Плавки,Karen Millen,4274563766629789,13,1300
979,123.ru,"('59.90625125,29.70726325', '17:26')",Ноутбук,NVIDIA,5106934628337188,60,41999
980,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Пудра,La Roche-Posay,4279343555119037,27,2495
981,Fab Store,"('59.9302169,30.3246437', '11:30')",Юбка,Rebecca Taylor,4274333266808709,56,1300
982,Спортмастер,"('59.9128513,30.446262', '20:56')",Свитер,Hobbs,5106741318465524,63,10100
983,Рив Гош,"('59.990724,30.2053798', '19:44')",Лосьон,Sunday Riley,5106187175158561,5,200
984,Fab Store,"('59.9302169,30.3246437', '11:30')",Шорты,Blank NYC,5469656652778276,96,2695
985,SMEG,"('59.9547305,30.3265232', '16:24')",Ноутбук,Sapphire,4273660463645942,8,24605
986,123.ru,"('59.90625125,29.70726325', '17:26')",Принтер,Xiaomi,5106644969802952,91,13399
987,Paper Shop,"('59.7933155,30.3309104', '13:56')",Шапка,Miu Miu,4274724266922766,86,799
988,Citilink,"('59.9992825,30.3597408', '19:16')",Микроволновая печь,Braun,4279545763530100,76,16900
989,Технопарк,"('59.90775075,30.32520831', '21:03')",Телевизор,Bosch,4279529079791561,46,35205
990,PiterGSM,"('59.9323949,30.3661284', '11:54')",Ноутбук,Western Digital,4274696809963645,92,91600
991,Котофото,"('59.9252998,30.3170072', '16:42')",Монитор,Indesit,5106329714132117,47,15199
992,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Тушь,Mario Badescu,5106295622991995,92,595
993,Gate31,"('59.9307242,30.345161', '18:45')",Бикини,Warehouse,4279448716281329,69,195
994,123.ru,"('59.90625125,29.70726325', '17:26')",Монитор,Bose,5106649315251874,65,38999
995,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Крем,Laura Geller,4272263836621611,12,1000
996,М.Видео,"('59.9907784,30.2061089', '15:19')",Телевизор,ZTE,4274135347846949,34,104800
997,Рив Гош,"('59.990724,30.2053798', '19:44')",Линер,Marc Jacobs Beauty,4274205763854358,19,595
998,Gate31,"('59.9307242,30.345161', '18:45')",Шорты,Paige,5106303953952965,73,1901
999,Гум,"('59.9937587,30.1931236', '19:11')",Ветровка,Hobbs,5106551545890593,69,4499
1000,Citilink mini,"('60.0474289,30.3748429', '10:37')",Стиральная машина,Ryzen,4274881757255186,30,19899
1001,DNS,"('59.8835274,30.370143', '10:22')",Видеокамера,Apollo,5106797878749894,10,75605
1002,Отдел,"('60.04797585,30.26449915', '13:07')",Плавки,Under Armour,5469293508012239,31,3005
1003,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Лосьон,Becca Cosmetics,4274362686991467,40,1905
1004,Котофото,"('59.9252998,30.3170072', '16:42')",Кондиционер,Duraturn,4279525430891269,46,33005
1005,Подружка,"('59.9604693,30.3164542', '20:09')",Шампунь,Kate Somerville,5106596711303341,25,605
1006,М.Видео,"('59.9907784,30.2061089', '15:19')",Принтер,JBL,5106286569575510,76,16500
1007,123.ru,"('59.90625125,29.70726325', '17:26')",Планшет,Fractal Design,5106201377104053,9,22695
1008,Эльдорадо,"('59.94584125,30.480875', '16:34')",Ноутбук,be quiet!,5106882719201261,53,135900
1009,Эльдорадо,"('59.94584125,30.480875', '16:34')",Монитор,Event,5469584298280515,50,8500
1010,Отдел,"('60.04797585,30.26449915', '13:07')",Жилет,Michael Michael Kors,5106932577899422,8,700
1011,Subbota,"('59.9538908,30.296822', '14:00')",Рубашка,Acne Studios,5106479528753092,9,5000
1012,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Консилер,NYX Professional Makeup,5106203994965978,26,2501
1013,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Тушь,Yves Saint Laurent,4274192250469996,37,1001
1014,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Тональник,Laura Geller Beauty,4272975704649301,53,1500
1015,Спутник,"('59.9189277,30.346303', '12:43')",Пудра,La Mer,4274656916974634,44,299
1016,Gate31,"('59.9307242,30.345161', '18:45')",Свитер,Celine,5106949986109053,23,5495
1017,Спутник,"('59.9189277,30.346303', '12:43')",Румяна,Filorga,4272976861828365,64,601
1018,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Основа,Estée Lauder,4274361067816994,62,600
1019,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Тональник,Herbivore Botanicals,5106994171385240,18,1499
1020,Stokmann,"('59.9325138,30.3597223', '17:57')",Перчатки,Jigsaw,4274523150725599,56,500
1021,Гум,"('59.9937587,30.1931236', '19:11')",Жилет,Lululemon,5106581519691866,97,201
1022,Котофото,"('59.9252998,30.3170072', '16:42')",Гарнитура,Microsoft,4274426475981683,79,95
1023,Sephora,"('59.92824665,30.35999192', '16:15')",Тушь,MAC Cosmetics,4279743059697873,30,305
1024,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Пудра,Ren Clean Skincare,5106927062981513,87,2800
1025,Подружка,"('59.9604693,30.3164542', '20:09')",Парфюм,Laura Mercier,4279155946061683,89,9595
1026,Paper Shop,"('59.7933155,30.3309104', '13:56')",Футболка,Saint Laurent,4274572323888648,48,2595
1027,Отдел,"('60.04797585,30.26449915', '13:07')",Шляпа,Converse,5404564017044293,18,1399
1028,Эльдорадо,"('59.94584125,30.480875', '16:34')",Планшет,Corsair,5106147753603610,38,51405
1029,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Пудра,Burberry Beauty,5106767604177374,16,3705
1030,PiterGSM,"('59.9323949,30.3661284', '11:54')",Монитор,Kenwood,4279416062419917,54,20000
1031,М.Видео,"('59.9907784,30.2061089', '15:19')",Пылесос,Ryzen,5106741149942515,62,6195
1032,Stokmann,"('59.9325138,30.3597223', '17:57')",Свитер,Patagonia,5106936435216626,82,1205
1033,PiterGSM,"('59.9323949,30.3661284', '11:54')",Стиральная машина,Vivo,5106239107058372,42,14101
1034,Эльдорадо,"('59.94584125,30.480875', '16:34')",Плеер и аудиотехника,Nexen,4279930929263784,12,3999
1035,Гум,"('59.9937587,30.1931236', '19:11')",Юбка,Self-Portrait,5106641085146901,87,2605
1036,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Линер,Lancôme,5106372638533481,33,599
1037,Subbota,"('59.9538908,30.296822', '14:00')",Ветровка,Fat Face,4274999971539967,88,10700
1038,Технопарк,"('59.90775075,30.32520831', '21:03')",Гарнитура,Artec,4279160752435422,75,2900
1039,PiterGSM,"('59.9323949,30.3661284', '11:54')",Ноутбук,Core i7,5106965629787637,19,22705
1040,Эльдорадо,"('59.94584125,30.480875', '16:34')",Гарнитура,Core i7,4273488064895160,82,295
1041,Рив Гош,"('59.990724,30.2053798', '19:44')",Румяна,Omorovicza,5106312215512427,59,200
1042,Gate31,"('59.9307242,30.345161', '18:45')",Джинсы,ASOS,4279248245180497,85,900
1043,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Основа,LORAC Cosmetics,4272801739084553,39,200
1044,SMEG,"('59.9547305,30.3265232', '16:24')",Фотокамера,Fuzion,5106191276472809,45,27000
1045,Citilink,"('59.9992825,30.3597408', '19:16')",Ноутбук,Silverstone,4279721820467878,24,88300
1046,Спутник,"('59.9189277,30.346303', '12:43')",Линер,Peter Thomas Roth,5469365957732086,67,800
1047,SMEG,"('59.9547305,30.3265232', '16:24')",Ноутбук,Aurora,5106749019755638,80,102899
1048,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Маскара,Charlotte Tilbury,5106702421993842,91,1700
1049,Gate31,"('59.9307242,30.345161', '18:45')",Шорты,Superdry,5106560436664877,36,3305
1050,Спортмастер,"('59.9128513,30.446262', '20:56')",Перчатки,White Stuff,5106988067927523,60,1805
1051,Code7,"('59.9595411,30.3145212', '11:19')",Перчатки,Valentino,5106323088295685,78,101
1052,Отдел,"('60.04797585,30.26449915', '13:07')",Бикини,French Connection,4274260819163465,60,2995
1053,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Шампунь,Murad,4272322415618939,6,395
1054,Gate31,"('59.9307242,30.345161', '18:45')",Шляпа,Saks Potts,5106226882050594,39,200
1055,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Лосьон,Clinique,4279701363146884,31,1501
1056,Citilink mini,"('60.0474289,30.3748429', '10:37')",Кондиционер,Nokian,5106289445991722,70,26600
1057,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Основа,Kate Somerville,4276474417588905,75,4100
1058,Paper Shop,"('59.7933155,30.3309104', '13:56')",Пальто,Rebecca Minkoff,4272811349678486,82,6305
1059,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Лосьон,Kiko Milano,5189763501100198,21,1699
1060,Подружка,"('59.9604693,30.3164542', '20:09')",Тональник,Tarte Cosmetics,4274536153532526,38,2399
1061,Гум,"('59.9937587,30.1931236', '19:11')",Жилет,Topshop,5469134899462212,6,1801
1062,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Лосьон,Lierac,4274491322127779,29,299
1063,Котофото,"('59.9252998,30.3170072', '16:42')",Ноутбук,Lenovo,5106959381798846,19,25295
1064,123.ru,"('59.90625125,29.70726325', '17:26')",Телевизор,Miele,4279479332731849,32,114099
1065,Citilink,"('59.9992825,30.3597408', '19:16')",Плеер и аудиотехника,General Electric,4273848856865313,77,4999
1066,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Основа,SkinCeuticals,5106682841833118,30,899
1067,Citilink mini,"('60.0474289,30.3748429', '10:37')",Пылесос,Core i7,4274556724719104,80,4699
1068,Рив Гош,"('59.990724,30.2053798', '19:44')",Маскара,Chanel,4279784068307471,74,899
1069,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Тушь,Illamasqua,5106461858236411,93,800
1070,Котофото,"('59.9252998,30.3170072', '16:42')",Ноутбук,BenQ,4279251687783178,83,89700
1071,Fab Store,"('59.9302169,30.3246437', '11:30')",Свитер,Lululemon,5106297829898072,78,2301
1072,Paper Shop,"('59.7933155,30.3309104', '13:56')",Футболка,Diane von Furstenberg,5106607810447873,37,3000
1073,PiterGSM,"('59.9323949,30.3661284', '11:54')",Видеокамера,Toyo,4274374281598992,5,66205
1074,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Блеск,Sunday Riley,5106876526911237,10,100
1075,Sephora,"('59.92824665,30.35999192', '16:15')",Маскара,Ren Clean Skincare,4272368134587307,84,495
1076,Отдел,"('60.04797585,30.26449915', '13:07')",Блузка,Rebecca Taylor,4272968294400950,45,2805
1077,Отдел,"('60.04797585,30.26449915', '13:07')",Штаны,Superdry,4274677134777676,89,405
1078,Gate31,"('59.9307242,30.345161', '18:45')",Штаны,Fat Face,4274570821029002,52,1800
1079,Code7,"('59.9595411,30.3145212', '11:19')",Блузка,Joseph,5106948470157602,23,905
1080,MAC Cosmetics,"('59.92738625,30.36147265', '13:55')",Тональник,IT Cosmetics,5106966688610831,20,2805
1081,Code7,"('59.9595411,30.3145212', '11:19')",Рубашка,Boden,4279132728783941,15,1800
1082,Stokmann,"('59.9325138,30.3597223', '17:57')",Джинсы,Ted Baker,5106977821434740,77,1899
1083,Gate31,"('59.9307242,30.345161', '18:45')",Штаны,Topshop,5106360387355835,85,4900
1084,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Румяна,Covergirl,5106457674555636,19,795
1085,Отдел,"('60.04797585,30.26449915', '13:07')",Штаны,Boden,5106829307390711,24,605
1086,Отдел,"('60.04797585,30.26449915', '13:07')",Костюм,Ba&sh,5404647646430867,73,6799
1087,PiterGSM,"('59.9323949,30.3661284', '11:54')",Микроволновая печь,Toshiba,5106358242266483,18,4505
1088,SMEG,"('59.9547305,30.3265232', '16:24')",Пылесос,Alienware,4279411981078986,62,1699
1089,Спортмастер,"('59.9128513,30.446262', '20:56')",Куртка,Michael Michael Kors,4279922683135479,97,2600
1090,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Парфюм,Glossier,5106793835970226,31,5105
1091,Отдел,"('60.04797585,30.26449915', '13:07')",Шапка,Seasalt Cornwall,5106980868988852,92,305
1092,Fab Store,"('59.9302169,30.3246437', '11:30')",Шапка,Vetements,5106906768820655,34,2799
1093,Отдел,"('60.04797585,30.26449915', '13:07')",Шапка,AllSaints,4272482931362759,28,505
1094,SMEG,"('59.9547305,30.3265232', '16:24')",Планшет,Zotac,5469803000708508,79,1100
1095,Subbota,"('59.9538908,30.296822', '14:00')",Блузка,Miss Selfridge,4272631431663778,17,2805
1096,Familia,"('59.92634555,30.32030116', '11:53')",Плавки,Roland Mouret,5106237266570561,45,400
1097,Котофото,"('59.9252998,30.3170072', '16:42')",Принтер,Acer,4279158552888675,24,8301
1098,Спутник,"('59.9189277,30.346303', '12:43')",Тональник,Fenty Beauty,4274538553286554,11,2201
1099,Citilink,"('59.9992825,30.3597408', '19:16')",Планшет,Gislaved,4279353588873242,71,35605
1100,Fab Store,"('59.9302169,30.3246437', '11:30')",Пальто,Helmut Lang,4274613357931002,23,4699
1101,SMEG,"('59.9547305,30.3265232', '16:24')",Пылесос,Sharp,5106958170527578,46,700
1102,Gate31,"('59.9307242,30.345161', '18:45')",Плавки,Jimmy Choo,5404470311400361,30,2301
1103,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Консилер,Kiehl's,4274810305137178,32,3399
1104,DNS,"('59.8835274,30.370143', '10:22')",Кондиционер,ECS,5106958589492155,54,3200
1105,Sephora,"('59.92824665,30.35999192', '16:15')",Румяна,Estée Lauder,4274760967108736,19,200
1106,Citilink mini,"('60.0474289,30.3748429', '10:37')",Планшет,Deepcool,4272392219124716,30,18605
1107,Спортмастер,"('59.9128513,30.446262', '20:56')",Джинсы,Ganni,5469849264101577,88,901
1108,Котофото,"('59.9252998,30.3170072', '16:42')",Телевизор,Cooper,5469983685748223,32,105805
1109,Спортмастер,"('59.9128513,30.446262', '20:56')",Пальто,Mint Velvet,4273487855729855,66,1999
1110,Subbota,"('59.9538908,30.296822', '14:00')",Ветровка,Puma,5106160059156210,99,9899
1111,Отдел,"('60.04797585,30.26449915', '13:07')",Шорты,M&S Collection,4272136903868944,71,1895
1112,Code7,"('59.9595411,30.3145212', '11:19')",Костюм,Hobbs,5106923071713791,35,18400
1113,Fab Store,"('59.9302169,30.3246437', '11:30')",Шарф,Baukjen,5469423584115923,78,300
1114,Sephora,"('59.92824665,30.35999192', '16:15')",Помада,Urban Decay,4276498111191080,46,205
1115,Stokmann,"('59.9325138,30.3597223', '17:57')",Шапка,Michael Kors,5106152060212123,87,601
1116,Гум,"('59.9937587,30.1931236', '19:11')",Костюм,Mint Velvet,4272608147540985,34,8100
1117,Sephora,"('59.92824665,30.35999192', '16:15')",Помада,Tom Ford Beauty,5106528678082808,41,2505
1118,Рив Гош,"('59.990724,30.2053798', '19:44')",Гель,Filorga,5106427384242367,80,600
1119,Sephora,"('59.92824665,30.35999192', '16:15')",Блеск,Anastasia Beverly Hills,5106770271260303,24,1699
1120,PiterGSM,"('59.9323949,30.3661284', '11:54')",Ноутбук,Razer,5469684666040668,96,56701
1121,Рив Гош,"('59.990724,30.2053798', '19:44')",Шампунь,Guerlain,5106436913965675,54,1799
1122,Citilink,"('59.9992825,30.3597408', '19:16')",Микроволновая печь,MSI,4279946462079523,99,4201
1123,Подружка,"('59.9604693,30.3164542', '20:09')",Румяна,Bite Beauty,4279988475396646,79,2000
1124,123.ru,"('59.90625125,29.70726325', '17:26')",Ноутбук,Vredestein,4276911164276336,75,22600
1125,Рив Гош,"('59.990724,30.2053798', '19:44')",Румяна,TheBalm,4274897508098185,18,1005
1126,Спортмастер,"('59.9128513,30.446262', '20:56')",Пальто,Whistles,5106962398256672,14,395
1127,Технопарк,"('59.90775075,30.32520831', '21:03')",Смартфон,Ceat,5106768963522021,46,117100
1128,Familia,"('59.92634555,30.32030116', '11:53')",Шляпа,7 For All Mankind,4274400762550775,98,2300
1129,Спутник,"('59.9189277,30.346303', '12:43')",Тональник,Guerlain,5106238684417202,26,4201
1130,Технопарк,"('59.90775075,30.32520831', '21:03')",Телевизор,Crucial,4279656644169271,53,40000
1131,Subbota,"('59.9538908,30.296822', '14:00')",Шорты,G-Star Raw,4274512944527935,11,2599
1132,Gate31,"('59.9307242,30.345161', '18:45')",Платье,John Lewis & Partners,4272585568178500,44,2205
1133,Рив Гош,"('59.990724,30.2053798', '19:44')",Крем,Embryolisse,4279963895707792,18,1299
1134,Подружка,"('59.9604693,30.3164542', '20:09')",Румяна,Dermalogica,5469384609963823,73,1505
1135,Котофото,"('59.9252998,30.3170072', '16:42')",Микроволновая печь,Eldorado,4274863667537244,26,9599
1136,Спутник,"('59.9189277,30.346303', '12:43')",Помада,RMS Beauty,4273993652008184,91,201
1137,Эльдорадо,"('59.94584125,30.480875', '16:34')",Пылесос,OnePlus,5404734771416010,58,13705
1138,Gate31,"('59.9307242,30.345161', '18:45')",Джинсы,Versace,4273720119646703,66,3895
1139,Рив Гош,"('59.990724,30.2053798', '19:44')",Шампунь,Stila,5106226216801124,67,1705
1140,Гум,"('59.9937587,30.1931236', '19:11')",Плавки,Osman,5106287689013271,40,2700
1141,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Лосьон,Pat McGrath Labs,4279560068399846,29,495
1142,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Основа,Avene,5469359289907046,73,901
1143,Code7,"('59.9595411,30.3145212', '11:19')",Блузка,Prabal Gurung,5106480347220658,96,1299
1144,Citilink,"('59.9992825,30.3597408', '19:16')",Видеокамера,Haier,4274141019779278,13,9899
1145,Котофото,"('59.9252998,30.3170072', '16:42')",Телевизор,Logitech,4274780477580563,47,64001
1146,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Тушь,Kiehl's,4279633417782556,30,600
1147,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Пудра,CeraVe,5106218193196505,19,2200
1148,Технопарк,"('59.90775075,30.32520831', '21:03')",Смартфон,Continental,4279407194693453,94,87299
1149,Code7,"('59.9595411,30.3145212', '11:19')",Юбка,Fat Face,4276225321512386,23,405
1150,Подружка,"('59.9604693,30.3164542', '20:09')",Тушь,Dior,5404546414946797,91,700
1151,Subbota,"('59.9538908,30.296822', '14:00')",Блузка,Thom Browne,5106506851298970,85,5195
1152,Citilink,"('59.9992825,30.3597408', '19:16')",Микроволновая печь,Hankook,5106161601872990,14,6100
1153,Citilink,"('59.9992825,30.3597408', '19:16')",Плеер и аудиотехника,Delinte,5106603257742785,76,3500
1154,Отдел,"('60.04797585,30.26449915', '13:07')",Блузка,Coast,4279145697239860,92,1801
1155,Paper Shop,"('59.7933155,30.3309104', '13:56')",Перчатки,Boden,4279330063601750,63,495
1156,DNS,"('59.8835274,30.370143', '10:22')",Монитор,Artec,4272606348932029,16,5205
1157,Отдел,"('60.04797585,30.26449915', '13:07')",Платье,Ted Baker,4274993398859505,95,2699
1158,DNS,"('59.8835274,30.370143', '10:22')",Смартфон,Western Digital,4274953298681452,19,31395
1159,Спутник,"('59.9189277,30.346303', '12:43')",Линер,Too Faced,5469402666416215,96,1200
1160,Спортмастер,"('59.9128513,30.446262', '20:56')",Футболка,DL1961,5106346151228930,15,5700
1161,Familia,"('59.92634555,30.32030116', '11:53')",Шапка,Gap,5106209688282129,99,1801
1162,Gate31,"('59.9307242,30.345161', '18:45')",Куртка,Adidas,4273180886579053,48,5
1163,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Тушь,bareMinerals,4272836360513385,77,1100
1164,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Блеск,Too Faced,5106757126677765,78,1000
1165,PiterGSM,"('59.9323949,30.3661284', '11:54')",Принтер,Sapphire,5106200343160706,50,1999
1166,Familia,"('59.92634555,30.32030116', '11:53')",Юбка,Puma,5404150041506555,59,2300
1167,Подружка,"('59.9604693,30.3164542', '20:09')",Основа,TheBalm,4274582253225791,40,399
1168,Гум,"('59.9937587,30.1931236', '19:11')",Джинсы,J Brand,5106607790717780,40,2795
1169,SMEG,"('59.9547305,30.3265232', '16:24')",Плеер и аудиотехника,Bose,4274968177405122,66,4999
1170,Gate31,"('59.9307242,30.345161', '18:45')",Платье,Gerard Darel,4274452417668127,19,999
1171,Paper Shop,"('59.7933155,30.3309104', '13:56')",Костюм,Diane von Furstenberg,4274661123953128,56,905
1172,Котофото,"('59.9252998,30.3170072', '16:42')",Видеокамера,Novex,5469621641168580,78,53301
1173,Gate31,"('59.9307242,30.345161', '18:45')",Рубашка,Claudie Pierlot,5469668389191387,15,3195
1174,Citilink,"('59.9992825,30.3597408', '19:16')",Фотокамера,Vivo,4274921734227726,68,27600
1175,Gate31,"('59.9307242,30.345161', '18:45')",Джинсы,Current/Elliott,4279424023901578,74,1005
1176,М.Видео,"('59.9907784,30.2061089', '15:19')",Фотокамера,Hankook,5106504963129872,64,33500
1177,Технопарк,"('59.90775075,30.32520831', '21:03')",Плеер и аудиотехника,Frigidaire,4279874524890615,24,2295
1178,Эльдорадо,"('59.94584125,30.480875', '16:34')",Монитор,SteelSeries,4279308708913700,11,10900
1179,Citilink,"('59.9992825,30.3597408', '19:16')",Ноутбук,Miele,4279533013700211,17,43995
1180,Familia,"('59.92634555,30.32030116', '11:53')",Рубашка,L.K. Bennett,5106716258820327,9,4501
1181,SMEG,"('59.9547305,30.3265232', '16:24')",Телевизор,Maxxis,4279418066111039,45,43399
1182,Citilink,"('59.9992825,30.3597408', '19:16')",Телевизор,SteelSeries,4274418012194777,85,97495
1183,DNS,"('59.8835274,30.370143', '10:22')",Плеер и аудиотехника,Federal,4273727817473590,63,3495
1184,DNS,"('59.8835274,30.370143', '10:22')",Смартфон,Blacklion,5404179450020316,65,41895
1185,Gate31,"('59.9307242,30.345161', '18:45')",Шорты,Theory,5106600831818070,40,2299
1186,Технопарк,"('59.90775075,30.32520831', '21:03')",Телевизор,Electrolux,5404905927196116,83,60395
1187,Гум,"('59.9937587,30.1931236', '19:11')",Куртка,Finery,4279398683546105,41,12201
1188,Подружка,"('59.9604693,30.3164542', '20:09')",Тональник,Lierac,4274385278447363,60,2995
1189,PiterGSM,"('59.9323949,30.3661284', '11:54')",Микроволновая печь,Kumho,4279127970522230,31,12801
1190,Citilink,"('59.9992825,30.3597408', '19:16')",Планшет,Kingston,4274507361467281,77,1595
1191,Спортмастер,"('59.9128513,30.446262', '20:56')",Шорты,Helmut Lang,4279264178358891,90,1200
1192,Code7,"('59.9595411,30.3145212', '11:19')",Футболка,Monsoon,4279639829327883,98,2500
1193,PiterGSM,"('59.9323949,30.3661284', '11:54')",Плеер и аудиотехника,BlackBerry,4274811139804350,67,7501
1194,Подружка,"('59.9604693,30.3164542', '20:09')",Маскара,OFRA Cosmetics,5106256311785209,51,1299
1195,123.ru,"('59.90625125,29.70726325', '17:26')",Пылесос,Eldorado,5106906983111002,73,11700
1196,Отдел,"('60.04797585,30.26449915', '13:07')",Блузка,Forever 21,4272441053723115,7,2799
1197,Citilink mini,"('60.0474289,30.3748429', '10:37')",Телевизор,Kumho,4279357374332350,23,52899
1198,Л'Этуаль,"('59.9263549,30.32150747', '10:22')",Маскара,Morphe,4272812096081409,8,300
1199,М.Видео,"('59.9907784,30.2061089', '15:19')",Фотокамера,Cougar,5469219225292411,90,52300
1200,Sephora,"('59.92824665,30.35999192', '16:15')",Тушь,Filorga,5469715450134817,83,795
1201,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Крем,Nuxe,5106150129510310,63,695
1202,Citilink mini,"('60.0474289,30.3748429', '10:37')",Пылесос,LG,4274741185910824,15,99
1203,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Маскара,LORAC Cosmetics,5106705691420166,77,95
1204,Золотое яблоко,"('59.931709,30.35935454', '19:33')",Консилер,Drunk Elephant,5106857946291535,45,1700
1205,PiterGSM,"('59.9323949,30.3661284', '11:54')",Гарнитура,Nokia,5106616936181567,33,3405
1206,Paper Shop,"('59.7933155,30.3309104', '13:56')",Жилет,Zadig & Voltaire,5106601694282588,80,2099
1207,М.Видео,"('59.9907784,30.2061089', '15:19')",Плеер и аудиотехника,Acer,5106510530910799,5,2900
1208,Подружка,"('59.9604693,30.3164542', '20:09')",Тушь,Tarte Cosmetics,5106179764694517,28,1799
1209,Спортмастер,"('59.9128513,30.446262', '20:56')",Ветровка,L.K. Bennett,5404394673084218,74,9505
1210,Северная Звезда,"('59.8732701,30.3380677', '19:49')",Гель,Smashbox,5106799545765394,8,401
1211,Citilink,"('59.9992825,30.3597408', '19:16')",Гарнитура,AMD,5106175422820156,62,1205
1212,PiterGSM,"('59.9323949,30.3661284', '11:54')",Кондиционер,Sharp,4279166925798150,70,7905
1213,ИЛЬ ДЕ БОТЭ,"('59.9347512,30.3332064', '19:13')",Помада,Jouer Cosmetics,5106393957097154,15,100
1214,Sephora,"('59.92824665,30.35999192', '16:15')",Тональник,Anastasia Beverly Hills,5106314996737811,86,1795
1215,Котофото,"('59.9252998,30.3170072', '16:42')",Телевизор,Canon,5106691007300891,61,2695
1216,Citilink mini,"('60.0474289,30.3748429', '10:37')",Телевизор,GIGABYTE,4274350976363086,79,34200
1217,Fab Store,"('59.9302169,30.3246437', '11:30')",Шапка,A.P.C.,5469847727594959,13,500
1218,Paper Shop,"('59.7933155,30.3309104', '13:56')",Футболка,Tommy Hilfiger,4274498778526676,64,1900
1219,М.Видео,"('59.9907784,30.2061089', '15:19')",Гарнитура,Pirelli,5106771863542702,40,2601
1220,Гум,"('59.9937587,30.1931236', '19:11')",Рубашка,Marc Jacobs,5404351279930346,97,3795
1221,Gate31,"('59.9307242,30.345161', '18:45')",Блузка,Scotch & Soda,5404768543020260,66,3300
1222,Paper Shop,"('59.7933155,30.3309104', '13:56')",Плавки,Fat Face,5469755448147813,91,4600
1223,Citilink mini,"('60.0474289,30.3748429', '10:37')",Ноутбук,MSI,5469515384189422,69,58001
1224,М.Видео,"('59.9907784,30.2061089', '15:19')",Пылесос,EVGA,4274414070632018,28,22195
1225,Citilink mini,"('60.0474289,30.3748429', '10:37')",Пылесос,Bridgestone,5106999997622704,73,9505
1226,Yves Rocher,"('59.9650697,30.3106416', '15:23')",Маскара,Kiehl's,5404728023896886,13,401
1227,Fab Store,"('59.9302169,30.3246437', '11:30')",Блузка,Nike,5106288639843414,24,1601
